EID,NAME,X,Y,Z（mi）,DESC,BEIZHU,
1,科技大楼,,,1,,缺,
2,北1宿舍,118.894802508390 ,31.910149190356 ,24.25,,BQ12SSL,
3,北2宿舍,118.893887604015 ,31.909889384189 ,24.25,,,
4,北3宿舍,118.894169140372 ,31.909178049131 ,24.25,,BQ34SSL,
5,北4宿舍,118.894483364153 ,31.908422679527 ,24.25,,,
6,后勤楼1,118.894765318815 ,31.907728977212 ,1,,缺,
7,北食堂,118.895292104563 ,31.909070185167 ,17.25,,BQST,
8,北5宿舍,118.894802508390 ,31.910149190356 ,24.25,,BQ5SSL,
9,北6宿舍,118.895559799068 ,31.908331205222 ,24.25,,BQ6SSL,
10,车队用房,118.896609105563 ,31.907897343359 ,1,,缺,
11,图书馆,118.894461738722 ,31.905728492101 ,33.728,,TSG,
12,工科楼,118.891835574979 ,31.906061845034 ,25.017,,GKL,
13,行政楼,118.892724250022 ,31.904362469904 ,18.589,,XZL,
14,1号教学楼,118.892371181284 ,31.908946342813 ,19.859,,1JXL,
15,2号教学楼,118.892810053878 ,31.907802883835 ,19.859,,2JXL,
16,3号教学楼,118.894439401889 ,31.904127874771 ,26.798,,345JXL,
17,4号教学楼,118.894608580558 ,31.903725272374 ,26.798,,,
18,5号教学楼,118.894772008744 ,31.903319911021 ,26.798,,,
19,6号教学楼,118.895723872652 ,31.904792890584 ,26.038,,678JXL,
20,7号教学楼,118.896097540900 ,31.904218619400 ,26.038,,,
21,8号教学楼,118.896379172800 ,31.903845179300 ,26.038,,,
22,大学生活动中心,118.897434534615 ,31.905779029732 ,23.152,,DXSHDZX,
23,结构工程实验室,118.891427930057 ,31.906745481236 ,15.892,,JGGCSYS,
24,机电实验室1,118.891867056102 ,31.906648197822 ,10.45,,JDCJA,
25,机电实验室2,118.891951765429 ,31.906414903687 ,9.136,,JDCJB,
26,南食堂,118.896500965230 ,31.903100145236 ,19450,,NQSTHQL,
27,后勤楼2,118.896499872200 ,31.903089186200 ,1,,,
28,南宿舍E01,118.898531647944 ,31.903721235553 ,28.024,,NQ1236SSL,
29,南宿舍E02,118.898870149386 ,31.903035113463 ,28.024,,NQ1236SSL,
30,南宿舍E03,118.899152678901 ,31.902331619671 ,28.024,,NQ1236SSL,
31,南宿舍E04,118.899431311783 ,31.901517508373 ,28.024,,NQ4910SSL,
32,南宿舍E05,118.898715450138 ,31.901331167228 ,28.024,,NQ57SSL,
33,南宿舍E06,118.898050110654 ,31.901228572688 ,28.024,,NQ1236SSL,
34,南宿舍E07,118.897283291532 ,31.901102743142 ,28.024,,NQ57SSL,
35,南宿舍E08,118.896974029260 ,31.901895538818 ,28.024,,NQ8SSL,
36,南宿舍E09,118.897828628271 ,31.902699633215 ,28.024,,NQ4910SSL,
37,南宿舍E10,118.897569198540 ,31.903379881896 ,28.024,,NQ4910SSL,
38,体育馆,118.896061627308 ,31.901282517926 ,20.8,,TYG,
39,金科宾馆,118.893692331421 ,31.901147722035 ,15.25,,JKBG,
40,北门卫,118.892439007800 ,31.911516099700 ,1,,缺,
41,西门卫,118.892428278900 ,31.905036083500 ,1,,缺,
42,南门卫,118.897146284600 ,31.900629888700 ,1,,缺,
43,东门卫,118.897680044200 ,31.906477444100 ,1,,缺,
44,北体育看台,118.894938826600 ,31.912996065400 ,1,,缺,
